driver_id,driver_name,persona,iso_week,currency,gross_earnings,platform_fees,incentives,net_earnings,trips,active_hours,days_worked,avg_net_per_day
drv_kumar_sg_12,Kumar Raj,grower,2025-W07,SGD,1520.34,304.07,16.48,1232.75,91,55.0,6,205.46
drv_kumar_sg_12,Kumar Raj,grower,2025-W08,SGD,2007.75,401.54,77.38,1683.59,109,56.4,6,280.6
drv_kumar_sg_12,Kumar Raj,grower,2025-W09,SGD,1791.74,358.35,32.62,1466.01,89,53.9,6,244.34
drv_kumar_sg_12,Kumar Raj,grower,2025-W10,SGD,1808.08,361.63,18.03,1464.48,98,51.4,6,244.08
drv_kumar_sg_12,Kumar Raj,grower,2025-W11,SGD,1652.66,330.53,9.2,1331.33,105,51.0,6,221.89
drv_kumar_sg_12,Kumar Raj,grower,2025-W12,SGD,1704.78,340.97,36.63,1400.44,88,54.1,6,233.41
drv_kumar_sg_12,Kumar Raj,grower,2025-W13,SGD,1709.24,341.85,24.39,1391.78,97,53.9,6,231.96
drv_kumar_sg_12,Kumar Raj,grower,2025-W14,SGD,1877.63,375.53,110.94,1613.04,96,52.8,6,268.84
drv_kumar_sg_12,Kumar Raj,grower,2025-W15,SGD,1908.76,381.75,23.97,1550.98,98,56.4,6,258.5
drv_kumar_sg_12,Kumar Raj,grower,2025-W16,SGD,1793.96,358.8,47.53,1482.69,83,53.9,6,247.12
drv_kumar_sg_12,Kumar Raj,grower,2025-W17,SGD,1849.26,369.85,38.21,1517.62,93,54.5,6,252.94
drv_kumar_sg_12,Kumar Raj,grower,2025-W18,SGD,1766.44,353.29,76.07,1489.22,112,57.8,6,248.2
drv_kumar_sg_12,Kumar Raj,grower,2025-W19,SGD,1765.55,353.12,0.0,1412.43,109,54.9,6,235.41
drv_kumar_sg_12,Kumar Raj,grower,2025-W20,SGD,1632.27,326.44,21.84,1327.67,78,61.6,6,221.28
drv_kumar_sg_12,Kumar Raj,grower,2025-W21,SGD,1776.22,355.24,67.45,1488.43,102,48.1,6,248.07
drv_kumar_sg_12,Kumar Raj,grower,2025-W22,SGD,1854.89,370.98,31.92,1515.83,107,49.3,6,252.64
drv_kumar_sg_12,Kumar Raj,grower,2025-W23,SGD,1974.67,394.91,22.1,1601.86,97,60.3,6,266.98
drv_kumar_sg_12,Kumar Raj,grower,2025-W24,SGD,1769.96,353.99,21.1,1437.07,86,56.2,6,239.51
drv_kumar_sg_12,Kumar Raj,grower,2025-W25,SGD,1841.94,368.39,45.77,1519.32,83,48.8,6,253.22
drv_kumar_sg_12,Kumar Raj,grower,2025-W26,SGD,1854.74,370.95,51.38,1535.17,108,61.3,6,255.86
drv_kumar_sg_12,Kumar Raj,grower,2025-W27,SGD,1720.48,344.1,51.94,1428.32,93,56.9,6,238.05
drv_kumar_sg_12,Kumar Raj,grower,2025-W28,SGD,1671.9,334.38,55.01,1392.53,100,46.0,6,232.09
drv_kumar_sg_12,Kumar Raj,grower,2025-W29,SGD,1896.49,379.3,34.83,1552.02,108,55.2,6,258.67
drv_kumar_sg_12,Kumar Raj,grower,2025-W30,SGD,1862.4,372.47,66.49,1556.42,94,58.6,6,259.4
drv_kumar_sg_12,Kumar Raj,grower,2025-W31,SGD,1868.92,373.77,0.0,1495.15,97,55.4,6,249.19
drv_kumar_sg_12,Kumar Raj,grower,2025-W32,SGD,1994.53,398.91,51.81,1647.43,100,53.8,6,274.57
drv_kumar_sg_12,Kumar Raj,grower,2025-W33,SGD,1574.0,314.8,0.0,1259.2,71,52.5,6,209.87
drv_kumar_sg_12,Kumar Raj,grower,2025-W34,SGD,1780.63,356.13,47.67,1472.17,94,51.6,6,245.36
drv_kumar_sg_12,Kumar Raj,grower,2025-W35,SGD,1349.3,269.87,37.53,1116.96,92,45.0,5,223.39
drv_kumar_sg_12,Kumar Raj,grower,2025-W36,SGD,1484.82,296.97,35.95,1223.8,72,47.7,5,244.76
drv_kumar_sg_12,Kumar Raj,grower,2025-W37,SGD,1843.54,368.71,61.78,1536.61,94,56.2,6,256.1
drv_kumar_sg_12,Kumar Raj,grower,2025-W38,SGD,1696.21,339.24,52.59,1409.56,94,53.0,6,234.93
drv_kumar_sg_12,Kumar Raj,grower,2025-W39,SGD,1856.95,371.39,78.22,1563.78,122,55.4,6,260.63
drv_kumar_sg_12,Kumar Raj,grower,2025-W40,SGD,1699.67,339.92,29.05,1388.8,101,55.9,6,231.47
drv_kumar_sg_12,Kumar Raj,grower,2025-W41,SGD,1794.42,358.88,50.66,1486.2,86,53.7,6,247.7
drv_kumar_sg_12,Kumar Raj,grower,2025-W42,SGD,1793.27,358.64,37.65,1472.28,116,51.1,6,245.38
drv_kumar_sg_12,Kumar Raj,grower,2025-W43,SGD,1811.14,362.23,10.55,1459.46,114,55.6,6,243.24
drv_kumar_sg_12,Kumar Raj,grower,2025-W44,SGD,1549.91,309.99,28.13,1268.05,101,57.9,6,211.34
drv_kumar_sg_12,Kumar Raj,grower,2025-W45,SGD,1786.73,357.34,35.4,1464.79,82,57.1,6,244.13
drv_kumar_sg_12,Kumar Raj,grower,2025-W46,SGD,1827.35,365.47,59.63,1521.51,83,52.8,6,253.59
drv_kumar_sg_12,Kumar Raj,grower,2025-W47,SGD,1771.15,354.24,18.18,1435.09,103,50.7,6,239.18
drv_kumar_sg_12,Kumar Raj,grower,2025-W48,SGD,1647.5,329.49,30.33,1348.34,100,61.4,6,224.72
drv_kumar_sg_12,Kumar Raj,grower,2025-W49,SGD,1673.3,334.67,38.73,1377.36,79,58.3,6,229.56
drv_kumar_sg_12,Kumar Raj,grower,2025-W50,SGD,764.95,153.0,14.52,626.47,41,29.8,3,208.82
drv_kumar_sg_12,Kumar Raj,grower,2025-W51,SGD,1576.72,315.35,16.49,1277.86,109,57.2,6,212.98
drv_kumar_sg_12,Kumar Raj,grower,2025-W52,SGD,2048.85,409.77,16.57,1655.65,115,47.9,6,275.94
drv_kumar_sg_12,Kumar Raj,grower,2026-W01,SGD,1966.29,393.26,15.57,1588.6,88,56.5,6,264.77
drv_kumar_sg_12,Kumar Raj,grower,2026-W02,SGD,1725.85,345.18,23.08,1403.75,93,54.8,6,233.96
drv_kumar_sg_12,Kumar Raj,grower,2026-W03,SGD,1923.55,384.7,80.72,1619.57,108,56.2,6,269.93
drv_kumar_sg_12,Kumar Raj,grower,2026-W04,SGD,1927.84,385.57,22.87,1565.14,113,53.6,6,260.86
drv_kumar_sg_12,Kumar Raj,grower,2026-W05,SGD,1821.81,364.36,59.85,1517.3,88,58.7,6,252.88
drv_kumar_sg_12,Kumar Raj,grower,2026-W06,SGD,1689.72,337.93,16.58,1368.37,88,57.5,6,228.06
drv_kumar_sg_12,Kumar Raj,grower,2026-W07,SGD,1758.14,351.63,26.05,1432.56,80,51.3,6,238.76
drv_kumar_sg_12,Kumar Raj,grower,2026-W08,SGD,1476.73,295.34,12.34,1193.73,99,57.9,6,198.96
drv_kumar_sg_12,Kumar Raj,grower,2026-W09,SGD,1694.48,338.89,74.55,1430.14,86,55.3,6,238.36
drv_kumar_sg_12,Kumar Raj,grower,2026-W10,SGD,1661.45,332.29,33.85,1363.01,107,57.1,6,227.17
drv_kumar_sg_12,Kumar Raj,grower,2026-W11,SGD,1707.33,341.47,10.88,1376.74,102,54.0,6,229.46
drv_kumar_sg_12,Kumar Raj,grower,2026-W12,SGD,1445.52,289.1,21.14,1177.56,86,60.1,6,196.26
drv_kumar_sg_12,Kumar Raj,grower,2026-W13,SGD,1473.59,294.73,54.14,1233.0,98,54.6,6,205.5
drv_kumar_sg_12,Kumar Raj,grower,2026-W14,SGD,1745.05,349.0,0.0,1396.05,93,55.4,6,232.68
drv_kumar_sg_12,Kumar Raj,grower,2026-W15,SGD,1656.32,331.26,16.37,1341.43,95,51.4,6,223.57
drv_kumar_sg_12,Kumar Raj,grower,2026-W16,SGD,1762.9,352.58,17.23,1427.55,101,55.3,6,237.92
drv_kumar_sg_12,Kumar Raj,grower,2026-W17,SGD,1805.27,361.06,65.47,1509.68,99,58.7,6,251.61
drv_kumar_sg_12,Kumar Raj,grower,2026-W18,SGD,1752.28,350.46,40.65,1442.47,91,51.8,6,240.41
drv_kumar_sg_12,Kumar Raj,grower,2026-W19,SGD,1741.22,348.25,33.84,1426.81,108,57.6,6,237.8
drv_kumar_sg_12,Kumar Raj,grower,2026-W20,SGD,1501.51,300.31,74.39,1275.59,92,41.2,5,255.12
drv_mei_sg_11,Mei Lin Tan,firefighter,2024-W46,SGD,91.84,18.37,4.05,77.52,24,7.6,1,77.52
drv_mei_sg_11,Mei Lin Tan,firefighter,2024-W47,SGD,1091.91,218.38,12.7,886.23,84,61.1,6,147.71
drv_mei_sg_11,Mei Lin Tan,firefighter,2024-W48,SGD,1160.22,232.04,26.33,954.51,97,52.6,6,159.09
drv_mei_sg_11,Mei Lin Tan,firefighter,2024-W49,SGD,1023.69,204.74,29.31,848.26,104,52.6,6,141.38
drv_mei_sg_11,Mei Lin Tan,firefighter,2024-W50,SGD,248.37,49.67,18.06,216.76,23,7.7,1,216.76
drv_mei_sg_11,Mei Lin Tan,firefighter,2024-W51,SGD,1223.53,244.7,0.0,978.83,83,58.3,6,163.14
drv_mei_sg_11,Mei Lin Tan,firefighter,2024-W52,SGD,1515.94,303.2,15.48,1228.22,93,48.9,6,204.7
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W01,SGD,1258.43,251.67,18.65,1025.41,110,54.6,6,170.9
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W02,SGD,1233.48,246.69,0.0,986.79,90,62.2,6,164.47
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W03,SGD,1109.49,221.9,18.69,906.28,102,55.3,6,151.05
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W04,SGD,1003.99,200.8,12.4,815.59,110,55.0,6,135.93
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W05,SGD,1004.94,200.98,36.38,840.34,103,53.5,6,140.06
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W06,SGD,1190.39,238.07,35.67,987.99,82,47.7,6,164.66
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W07,SGD,1279.11,255.83,18.01,1041.29,91,50.5,6,173.55
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W08,SGD,1214.71,242.95,7.92,979.68,99,48.0,6,163.28
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W09,SGD,0.0,0.0,0.0,0.0,0,0.0,0,0
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W10,SGD,952.08,190.42,15.93,777.59,78,31.9,4,194.4
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W11,SGD,1211.25,242.25,18.27,987.27,109,50.0,6,164.54
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W12,SGD,1311.87,262.37,53.87,1103.37,89,50.3,6,183.89
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W13,SGD,1104.11,220.81,6.1,889.4,96,52.5,6,148.23
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W14,SGD,1232.41,246.48,17.73,1003.66,72,49.7,6,167.28
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W15,SGD,1163.79,232.76,20.55,951.58,93,59.0,6,158.6
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W16,SGD,1120.44,224.09,44.45,940.8,77,52.8,6,156.8
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W17,SGD,1196.15,239.24,29.01,985.92,96,48.7,6,164.32
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W18,SGD,1279.72,255.95,0.0,1023.77,101,57.7,6,170.63
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W19,SGD,999.43,199.89,0.0,799.54,96,59.4,6,133.26
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W20,SGD,1295.55,259.11,0.0,1036.44,88,50.6,6,172.74
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W21,SGD,1097.2,219.44,9.27,887.03,85,50.9,6,147.84
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W22,SGD,1219.63,243.92,53.42,1029.13,117,61.5,6,171.52
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W23,SGD,1140.27,228.05,0.0,912.22,105,46.7,6,152.04
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W24,SGD,1120.31,224.07,22.94,919.18,94,51.1,6,153.2
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W25,SGD,1173.05,234.61,27.49,965.93,100,54.5,6,160.99
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W26,SGD,1248.33,249.67,9.58,1008.24,82,54.2,6,168.04
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W27,SGD,1268.95,253.79,30.01,1045.17,101,59.3,6,174.19
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W28,SGD,1293.1,258.62,52.03,1086.51,100,54.5,6,181.09
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W29,SGD,1279.73,255.94,16.55,1040.34,76,54.0,6,173.39
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W30,SGD,1207.03,241.4,55.92,1021.55,96,60.3,6,170.26
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W31,SGD,1161.34,232.27,33.17,962.24,96,46.6,6,160.37
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W32,SGD,1231.32,246.27,45.25,1030.3,116,59.5,6,171.72
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W33,SGD,1069.25,213.85,35.4,890.8,85,60.8,6,148.47
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W34,SGD,1265.99,253.2,0.0,1012.79,98,56.6,6,168.8
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W35,SGD,1238.75,247.75,41.3,1032.3,95,59.0,6,172.05
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W36,SGD,1203.62,240.73,42.49,1005.38,91,50.1,6,167.56
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W37,SGD,1105.0,221.01,37.86,921.85,71,52.1,6,153.64
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W38,SGD,1080.75,216.14,15.58,880.19,118,55.7,6,146.7
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W39,SGD,1184.95,236.99,24.69,972.65,88,55.1,6,162.11
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W40,SGD,1204.28,240.85,21.48,984.91,96,61.8,6,164.15
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W41,SGD,1166.2,233.23,55.78,988.75,75,49.2,6,164.79
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W42,SGD,1261.54,252.3,12.51,1021.75,94,58.1,6,170.29
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W43,SGD,1221.39,244.27,34.8,1011.92,101,49.5,6,168.65
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W44,SGD,1059.02,211.8,28.41,875.63,68,61.3,6,145.94
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W45,SGD,1303.19,260.65,47.71,1090.25,106,50.3,6,181.71
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W46,SGD,1177.4,235.48,27.53,969.45,83,57.7,6,161.58
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W47,SGD,1195.14,239.03,19.71,975.82,88,49.7,6,162.64
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W48,SGD,1105.96,221.18,21.88,906.66,100,58.0,6,151.11
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W49,SGD,1171.24,234.24,10.45,947.45,92,52.5,6,157.91
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W50,SGD,1136.62,227.32,36.41,945.71,103,64.4,6,157.62
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W51,SGD,1072.15,214.43,19.74,877.46,103,52.8,6,146.24
drv_mei_sg_11,Mei Lin Tan,firefighter,2025-W52,SGD,1558.64,311.72,0.0,1246.92,101,46.9,6,207.82
drv_mei_sg_11,Mei Lin Tan,firefighter,2026-W01,SGD,1451.15,290.23,0.0,1160.92,84,48.7,6,193.49
