driver_id,driver_name,persona,earnings_tier,date,month,iso_week,day_of_week,gross_earnings,platform_fees,incentives,net_earnings,trips,active_hours,online_hours,acceptance_rate,cancellations,earnings_per_hour,earnings_per_trip,currency,is_rest_day,festival_window,note
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-02,2025-01,2025-W01,Thursday,215.47,43.09,0.0,172.38,11,6.2,6.6,0.87,3,27.8,15.67,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-03,2025-01,2025-W01,Friday,263.44,52.69,16.68,227.43,24,10.5,12.3,0.94,0,21.66,9.48,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-04,2025-01,2025-W01,Saturday,265.0,53.0,0.0,212.0,15,9.0,10.9,0.72,0,23.56,14.13,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-05,2025-01,2025-W01,Sunday,188.69,37.74,13.27,164.22,12,11.5,14.2,0.73,2,14.28,13.69,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-06,2025-01,2025-W02,Monday,158.51,31.7,4.99,131.8,15,9.7,11.9,0.85,0,13.59,8.79,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-07,2025-01,2025-W02,Tuesday,129.48,25.9,0.0,103.58,8,8.9,10.6,0.94,1,11.64,12.95,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-08,2025-01,2025-W02,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-09,2025-01,2025-W02,Thursday,184.99,37.0,11.58,159.57,15,7.8,8.9,0.8,0,20.46,10.64,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-10,2025-01,2025-W02,Friday,278.7,55.74,10.1,233.06,11,6.6,7.2,0.94,0,35.31,21.19,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-11,2025-01,2025-W02,Saturday,219.6,43.92,0.0,175.68,10,10.7,14.1,0.9,0,16.42,17.57,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-12,2025-01,2025-W02,Sunday,200.2,40.04,0.0,160.16,16,10.7,12.9,0.94,0,14.97,10.01,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-13,2025-01,2025-W03,Monday,163.37,32.67,0.0,130.7,24,10.9,14.7,0.85,2,11.99,5.45,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-14,2025-01,2025-W03,Tuesday,192.84,38.57,0.0,154.27,17,11.9,15.1,0.92,3,12.96,9.07,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-15,2025-01,2025-W03,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-16,2025-01,2025-W03,Thursday,240.99,48.2,0.0,192.79,15,11.9,13.0,0.78,2,16.2,12.85,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-17,2025-01,2025-W03,Friday,200.82,40.16,0.0,160.66,16,11.8,14.9,0.73,3,13.62,10.04,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-18,2025-01,2025-W03,Saturday,258.83,51.77,14.85,221.91,19,9.2,11.2,0.85,1,24.12,11.68,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-19,2025-01,2025-W03,Sunday,249.53,49.91,0.0,199.62,17,8.2,10.3,0.94,1,24.34,11.74,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-20,2025-01,2025-W04,Monday,199.83,39.97,7.99,167.85,10,7.1,7.8,0.87,3,23.64,16.79,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-21,2025-01,2025-W04,Tuesday,199.33,39.87,0.0,159.46,12,7.3,8.7,0.73,2,21.84,13.29,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-22,2025-01,2025-W04,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-23,2025-01,2025-W04,Thursday,206.16,41.23,0.0,164.93,19,9.3,12.5,0.88,2,17.73,8.68,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-24,2025-01,2025-W04,Friday,275.0,55.0,0.0,220.0,22,6.9,7.7,0.76,3,31.88,10.0,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-25,2025-01,2025-W04,Saturday,126.24,25.25,0.0,100.99,17,9.6,11.3,0.8,2,10.52,5.94,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-26,2025-01,2025-W04,Sunday,101.74,20.35,7.59,88.98,13,6.7,7.2,0.75,1,13.28,6.84,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-27,2025-01,2025-W05,Monday,115.83,23.17,0.0,92.66,13,10.3,12.7,0.88,3,9.0,7.13,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-28,2025-01,2025-W05,Tuesday,156.07,31.21,10.09,134.95,14,9.8,13.0,0.84,3,13.77,9.64,SGD,False,Lunar New Year,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-29,2025-01,2025-W05,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,Lunar New Year,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-30,2025-01,2025-W05,Thursday,122.1,24.42,0.0,97.68,16,9.0,11.1,0.9,2,10.85,6.11,SGD,False,Lunar New Year,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-31,2025-01,2025-W05,Friday,204.97,40.99,14.81,178.79,11,6.9,7.3,0.75,1,25.91,16.25,SGD,False,Lunar New Year,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-01,2025-02,2025-W05,Saturday,150.94,30.19,0.0,120.75,10,7.5,9.8,0.73,0,16.1,12.07,SGD,False,Lunar New Year,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-02,2025-02,2025-W05,Sunday,224.75,44.95,0.0,179.8,10,11.0,12.6,0.75,0,16.35,17.98,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-03,2025-02,2025-W06,Monday,165.45,33.09,9.21,141.57,14,10.7,13.5,0.88,2,13.23,10.11,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-04,2025-02,2025-W06,Tuesday,199.08,39.82,8.72,167.98,14,6.6,8.8,0.94,0,25.45,12.0,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-05,2025-02,2025-W06,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-06,2025-02,2025-W06,Thursday,228.12,45.62,0.0,182.5,16,8.8,11.1,0.78,0,20.74,11.41,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-07,2025-02,2025-W06,Friday,278.67,55.73,0.0,222.94,10,8.8,10.7,0.77,2,25.33,22.29,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-08,2025-02,2025-W06,Saturday,219.63,43.93,0.0,175.7,20,7.9,9.2,0.72,2,22.24,8.79,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-09,2025-02,2025-W06,Sunday,213.96,42.79,9.58,180.75,14,11.6,13.6,0.86,1,15.58,12.91,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-10,2025-02,2025-W07,Monday,147.51,29.5,0.0,118.01,9,11.6,12.4,0.76,0,10.17,13.11,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-11,2025-02,2025-W07,Tuesday,193.82,38.76,0.0,155.06,8,11.5,12.6,0.92,3,13.48,19.38,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-12,2025-02,2025-W07,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-13,2025-02,2025-W07,Thursday,232.03,46.41,0.0,185.62,19,10.0,12.8,0.93,3,18.56,9.77,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-14,2025-02,2025-W07,Friday,205.25,41.05,0.0,164.2,11,6.1,7.9,0.86,1,26.92,14.93,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-15,2025-02,2025-W07,Saturday,288.93,57.79,0.0,231.14,12,8.9,9.9,0.85,0,25.97,19.26,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-16,2025-02,2025-W07,Sunday,243.1,48.62,0.0,194.48,24,11.0,13.9,0.75,1,17.68,8.1,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-17,2025-02,2025-W08,Monday,138.62,27.72,0.0,110.9,20,6.3,7.5,0.94,1,17.6,5.54,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-18,2025-02,2025-W08,Tuesday,197.15,39.43,0.0,157.72,8,7.9,10.5,0.94,0,19.96,19.71,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-19,2025-02,2025-W08,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-20,2025-02,2025-W08,Thursday,88.8,17.76,0.0,71.04,24,11.9,14.7,0.96,0,5.97,2.96,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-21,2025-02,2025-W08,Friday,274.64,54.93,10.48,230.19,16,10.5,12.6,0.81,1,21.92,14.39,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-22,2025-02,2025-W08,Saturday,288.86,57.77,18.63,249.72,17,10.3,11.3,0.86,3,24.24,14.69,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-23,2025-02,2025-W08,Sunday,181.48,36.3,0.0,145.18,10,7.0,9.1,0.86,2,20.74,14.52,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-24,2025-02,2025-W09,Monday,147.21,29.44,0.0,117.77,21,8.3,11.1,0.97,2,14.19,5.61,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-25,2025-02,2025-W09,Tuesday,193.3,38.66,11.98,166.62,10,7.5,9.3,0.91,2,22.22,16.66,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-26,2025-02,2025-W09,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-27,2025-02,2025-W09,Thursday,236.55,47.31,18.3,207.54,19,11.8,12.5,0.85,0,17.59,10.92,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-02-28,2025-02,2025-W09,Friday,202.01,40.4,0.0,161.61,19,6.3,8.0,0.82,3,25.65,8.51,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-01,2025-03,2025-W09,Saturday,236.64,47.33,0.0,189.31,12,11.1,14.8,0.88,2,17.05,15.78,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-02,2025-03,2025-W09,Sunday,174.78,34.96,11.42,151.24,24,8.8,10.1,0.94,3,17.19,6.3,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-03,2025-03,2025-W10,Monday,143.28,28.66,5.64,120.26,13,9.9,11.9,0.8,1,12.15,9.25,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-04,2025-03,2025-W10,Tuesday,148.2,29.64,0.0,118.56,9,8.5,9.2,0.79,1,13.95,13.17,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-05,2025-03,2025-W10,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,Ramadan,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-06,2025-03,2025-W10,Thursday,172.46,34.49,8.59,146.56,10,6.4,7.8,0.89,3,22.9,14.66,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-07,2025-03,2025-W10,Friday,104.5,20.9,5.61,89.21,10,9.6,10.5,0.9,2,9.29,8.92,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-08,2025-03,2025-W10,Saturday,96.88,19.38,4.6,82.1,21,11.7,14.0,0.89,3,7.02,3.91,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-09,2025-03,2025-W10,Sunday,107.24,21.45,0.0,85.79,24,11.2,11.8,0.9,0,7.66,3.57,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-10,2025-03,2025-W11,Monday,156.36,31.27,10.77,135.86,18,11.8,14.9,0.93,3,11.51,7.55,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-11,2025-03,2025-W11,Tuesday,129.89,25.98,0.0,103.91,12,11.9,15.5,0.91,3,8.73,8.66,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-12,2025-03,2025-W11,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,Ramadan,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-13,2025-03,2025-W11,Thursday,132.52,26.5,7.83,113.85,16,9.3,10.1,0.92,1,12.24,7.12,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-14,2025-03,2025-W11,Friday,180.03,36.01,0.0,144.02,19,9.6,10.8,0.86,3,15.0,7.58,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-15,2025-03,2025-W11,Saturday,169.37,33.87,0.0,135.5,16,11.4,13.5,0.77,2,11.89,8.47,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-16,2025-03,2025-W11,Sunday,87.49,17.5,0.0,69.99,15,6.4,7.3,0.75,0,10.94,4.67,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-17,2025-03,2025-W12,Monday,141.08,28.22,9.17,122.03,21,10.7,11.7,0.76,3,11.4,5.81,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-18,2025-03,2025-W12,Tuesday,149.43,29.89,0.0,119.54,22,7.9,8.4,0.73,1,15.13,5.43,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-19,2025-03,2025-W12,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,Ramadan,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-20,2025-03,2025-W12,Thursday,136.56,27.31,7.64,116.89,8,9.6,10.3,0.89,3,12.18,14.61,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-21,2025-03,2025-W12,Friday,166.71,33.34,0.0,133.37,9,11.5,14.2,0.96,0,11.6,14.82,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-22,2025-03,2025-W12,Saturday,93.79,18.76,4.97,80.0,15,10.0,11.4,0.82,3,8.0,5.33,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-23,2025-03,2025-W12,Sunday,149.26,29.85,0.0,119.41,23,7.7,9.8,0.88,3,15.51,5.19,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-24,2025-03,2025-W13,Monday,120.09,24.02,7.89,103.96,12,8.3,9.0,0.89,3,12.53,8.66,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-25,2025-03,2025-W13,Tuesday,70.92,14.18,5.51,62.25,19,11.6,13.0,0.8,0,5.37,3.28,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-26,2025-03,2025-W13,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,Ramadan,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-27,2025-03,2025-W13,Thursday,152.42,30.48,5.78,127.72,24,8.6,9.8,0.83,3,14.85,5.32,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-28,2025-03,2025-W13,Friday,161.55,32.31,0.0,129.24,15,8.0,10.0,0.89,0,16.16,8.62,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-29,2025-03,2025-W13,Saturday,90.08,18.02,0.0,72.06,13,11.8,13.1,0.97,1,6.11,5.54,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-30,2025-03,2025-W13,Sunday,84.2,16.84,7.1,74.46,10,6.2,7.0,0.95,0,12.01,7.45,SGD,False,Ramadan,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-03-31,2025-03,2025-W14,Monday,80.74,16.15,0.0,64.59,14,6.9,9.1,0.96,1,9.36,4.61,SGD,False,Eid,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-04-01,2025-04,2025-W14,Tuesday,91.27,18.25,0.0,73.02,20,7.4,8.3,0.87,3,9.87,3.65,SGD,False,Eid,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-04-02,2025-04,2025-W14,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,Eid,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-04-03,2025-04,2025-W14,Thursday,91.02,18.2,3.33,76.15,19,11.8,14.3,0.96,3,6.45,4.01,SGD,False,Eid,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-04-04,2025-04,2025-W14,Friday,84.57,16.91,4.13,71.79,18,6.1,6.8,0.72,0,11.77,3.99,SGD,False,Eid,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-04-05,2025-04,2025-W14,Saturday,283.5,56.7,0.0,226.8,8,10.5,12.4,0.76,3,21.6,28.35,SGD,False,,
